('O', 'NNP')
('Itaguaí', 'NNP')
('demais', 'NN')
('vilas', 'NNS')
('cidades', 'NNS')
('mediante', 'VBP')
('estipêndio', 'JJ')
('Câmara', 'NNP')
('daria', 'NN')
('família', 'NN')
('enfermo', 'FW')
('pudesse', 'NN')
('fazer', 'NN')
('A', 'NNP')
('proposta', 'NN')
('excitou', 'NN')
('curiosidade', 'NN')
('toda', 'NN')
('vila', 'NN')
('encontrou', 'NN')
('grande', 'NN')
('resistência', 'NN')
('tão', 'NN')
('certo', 'NN')
('dificilmente', 'NN')
('desarraigam', 'NN')
('hábitos', 'NN')
('absurdos', 'NN')
('ainda', 'NN')
('maus', 'VBD')
('A', 'NNP')
('idéia', 'NN')
('meter', 'NN')
('loucos', 'NN')
('mesma', 'NN')
('casa', 'NN')
('vivendo', 'NN')
('comum', 'JJ')
('pareceu', 'NN')
('si', 'NN')
('mesma', 'NN')
('sintoma', 'NN')
('demência', 'NN')
('faltou', 'NN')
('insinuasse', 'NN')
('própria', 'NN')
('mulher', 'NN')
('médico', 'NN')
('Olhe', 'NNP')
('D', 'NNP')
('Evarista', 'NNP')
('disse', 'NN')
('Padre', 'NNP')
('Lopes', 'NNP')
('vigário', 'NN')
('lugar', 'NN')
('veja', 'NN')
('marido', 'NN')
('dá', 'NN')
('passeio', 'NN')
('Rio', 'NNP')
('Janeiro', 'NNP')
('Isso', 'NNP')
('estudar', 'NN')
('sempre', 'NN')
('sempre', 'NN')
('bom', 'NN')
('vira', 'NN')
('juízo', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('ficou', 'VBD')
('aterrada', 'JJ')
('ter', 'NN')
('marido', 'NN')
('disse', 'NN')
('desejos', 'NN')
('\x94,', 'NNP')
('principalmente', 'NN')
('vir', 'NN')
('Rio', 'NNP')
('Janeiro', 'NNP')
('comer', 'NN')
('tudo', 'NN')
('parecesse', 'NN')
('adequado', 'NN')
('certo', 'NN')
('fim', 'NN')
('Mas', 'NNP')
('grande', 'NN')
('homem', 'NN')
('rara', 'NN')
('sagacidade', 'VBD')
('distinguia', 'JJ')
('penetrou', 'NN')
('intenção', 'NN')
('esposa', 'NN')
('redargüiu', 'NN')
('sorrindo', 'NN')
('medo', 'NN')
('Dali', 'NNP')
('Câmara', 'NNP')
('onde', 'NN')
('vereadores', 'NNS')
('debatiam', 'VBP')
('proposta', 'JJ')
('defendeu', 'NN')
('tanta', 'NN')
('eloqüência', 'NN')
('maioria', 'NN')
('resolveu', 'NN')
('autorizá', 'NN')
('lo', 'NN')
('pedira', 'NN')
('votando', 'NN')
('tempo', 'NN')
('imposto', 'NN')
('destinado', 'NN')
('subsidiar', 'NN')
('tratamento', 'IN')
('alojamento', 'NN')
('mantimento', 'NN')
('doidos', 'NN')
('pobres', 'VBZ')
('A', 'DT')
('matéria', 'NN')
('imposto', 'NN')
('fácil', 'NN')
('achá', 'VBP')
('la', 'NN')
('tudo', 'NN')
('tributado', 'NN')
('Itaguaí', 'NNP')
('Depois', 'NNP')
('longos', 'VBD')
('estudos', 'JJ')
('assentou', 'NN')
('permitir', 'NN')
('uso', 'JJ')
('dois', 'NN')
('penachos', 'NN')
('cavalos', 'NN')
('enterros', 'JJ')
('Quem', 'NNP')
('quisesse', 'NN')
('emplumar', 'NN')
('cavalos', 'NN')
('coche', 'NN')
('mortuário', 'NN')
('pagaria', 'NN')
('dois', 'NN')
('tostões', 'NN')
('Câmara', 'NNP')
('repetindo', 'NN')
('tantas', 'NN')
('vezes', 'VBZ')
('quantia', 'JJ')
('quantas', 'NNS')
('horas', 'VBP')
('decorridas', 'RB')
('falecimento', 'JJ')
('última', 'NNP')
('bênção', 'NN')
('sepultura', 'NN')
('O', 'NNP')
('escrivão', 'VBZ')
('perdeu', 'JJ')
('cálculos', 'NN')
('aritméticos', 'NN')
('rendimento', 'NN')
('possível', 'NN')
('nova', 'JJ')
('taxa', 'NN')
('vereadores', 'NNS')
('acreditava', 'VBP')
('empresa', 'JJ')
('médico', 'NN')
('pediu', 'NN')
('relevasse', 'NN')
('escrivão', 'NN')
('trabalho', 'NN')
('inútil', 'NN')
('Os', 'NNP')
('cálculos', 'NN')
('precisos', 'NN')
('disse', 'NN')
('porque', 'NN')
('Dr', 'NNP')
('Bacamarte', 'NNP')
('arranja', 'IN')
('nada', 'JJ')
('Quem', 'NNP')
('viu', 'NN')
('agora', 'NN')
('meter', 'NN')
('todos', 'NN')
('doidos', 'NN')
('dentro', 'NN')
('mesma', 'NN')
('casa', 'NN')
('Enganava', 'NNP')
('digno', 'NN')
('magistrado', 'NN')
('médico', 'NN')
('arranjou', 'NN')
('tudo', 'NN')
('Uma', 'NNP')
('vez', 'NN')
('empossado', 'NN')
('licença', 'NN')
('começou', 'NN')
('logo', 'NN')
('construir', 'NN')
('casa', 'NN')
('Era', 'NNP')
('Rua', 'NNP')
('Nova', 'NNP')
('bela', 'NN')
('rua', 'NN')
('Itaguaí', 'NNP')
('naquele', 'CC')
('tempo', 'JJ')
('cinqüenta', 'NN')
('janelas', 'NNS')
('lado', 'VBP')
('pátio', 'JJ')
('centro', 'NN')
('numerosos', 'JJ')
('cubículos', 'NN')
('hóspedes', 'NNS')
('Como', 'NNP')
('grande', 'NN')
('arabista', 'NN')
('achou', 'NN')
('Corão', 'NNP')
('Maomé', 'NNP')
('declara', 'NN')
('veneráveis', 'NN')
('doidos', 'NN')
('consideração', 'NN')
('Alá', 'NNP')
('tira', 'NN')
('juízo', 'NN')
('pequem', 'VBZ')
('A', 'DT')
('idéia', 'JJ')
('pareceu', 'NN')
('bonita', 'NN')
('profunda', 'NN')
('fez', 'NN')
('gravar', 'NN')
('frontispício', 'NN')
('casa', 'NN')
('medo', 'NN')
('vigário', 'NN')
('tabela', 'NN')
('bispo', 'NN')
('atribuiu', 'NN')
('pensamento', 'NN')
('Benedito', 'NNP')
('VIII', 'NNP')
('merecendo', 'FW')
('fraude', 'NN')
('aliás', 'NN')
('pia', 'NN')
('Padre', 'NNP')
('Lopes', 'NNP')
('contasse', 'NN')
('almoço', 'NN')
('vida', 'NN')
('daquele', 'NN')
('pontífice', 'NN')
('eminente', 'VBD')
('A', 'NNP')
('Casa', 'NNP')
('Verde', 'NNP')
('nome', 'JJ')
('dado', 'NN')
('asilo', 'NN')
('alusão', 'NN')
('cor', 'NN')
('janelas', 'NN')
('primeira', 'NN')
('vez', 'NN')
('apareciam', 'NN')
('verdes', 'NNS')
('Itaguaí', 'NNP')
('Inaugurou', 'NNP')
('imensa', 'NN')
('pompa', 'NN')
('todas', 'NN')
('vilas', 'NNS')
('povoações', 'VBP')
('próximas', 'JJ')
('remotas', 'NNS')
('própria', 'NNS')
('cidade', 'VBP')
('Rio', 'NNP')
('Janeiro', 'NNP')
('correu', 'NN')
('gente', 'NN')
('assistir', 'NN')
('cerimônias', 'NN')
('duraram', 'VBZ')
('sete', 'JJ')
('dias', 'NNS')
('Muitos', 'NNP')
('dementes', 'VBZ')
('recolhidos', 'VBP')
('parentes', 'NNS')
('ocasião', 'VBP')
('ver', 'RB')
('carinho', 'JJ')
('paternal', 'JJ')
('caridade', 'NN')
('cristã', 'NN')
('iam', 'NN')
('ser', 'NN')
('tratados', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('contentíssima', 'NN')
('glória', 'NN')
('marido', 'NN')
('vestira', 'NN')
('luxuosamente', 'NN')
('cobriu', 'NN')
('jóias', 'NN')
('flores', 'VBZ')
('sedas', 'JJ')
('Ela', 'NNP')
('verdadeira', 'NN')
('rainha', 'NN')
('naqueles', 'NNS')
('dias', 'VBP')
('memoráveis', 'JJ')
('ninguém', 'JJ')
('deixou', 'NN')
('ir', 'NN')
('visitá', 'NN')
('la', 'NN')
('duas', 'NN')
('três', 'NN')
('vezes', 'VBZ')
('apesar', 'JJ')
('costumes', 'NNS')
('caseiros', 'VBP')
('recatados', 'JJ')
('século', 'NN')
('cortejavam', 'NN')
('louvavam', 'NN')
('porquanto', 'IN')
('fato', 'NN')
('documento', 'NN')
('altamente', 'NN')
('honroso', 'NN')
('sociedade', 'VBD')
('tempo', 'JJ')
('porquanto', 'NN')
('viam', 'NN')
('nela', 'JJ')
('feliz', 'NN')
('esposa', 'NN')
('alto', 'NN')
('espírito', 'NN')
('varão', 'NN')
('ilustre', 'NN')
('inveja', 'NN')
('santa', 'NN')
('nobre', 'JJ')
('inveja', 'NN')
('admiradores', 'NNS')
('Ao', 'NNP')
('cabo', 'VBD')
('sete', 'JJ')
('dias', 'NN')
('expiraram', 'NN')
('festas', 'NNS')
('públicas', 'VBP')
('Itaguaí', 'NNP')
('finalmente', 'NN')
('casa', 'NN')
('Orates', 'NNP')
('CAPÍTULO', 'NNP')
('II', 'NNP')
('TORRENTE', 'NNP')
('DE', 'NNP')
('LOUCOS', 'NNP')
('Três', 'NNP')
('dias', 'NN')
('expansão', 'NN')
('íntima', 'NNP')
('boticário', 'NN')
('Crispim', 'NNP')
('Soares', 'NNP')
('desvendou', 'VBZ')
('alienista', 'JJ')
('mistério', 'NN')
('coração', 'VBZ')
('A', 'NNP')
('caridade', 'NN')
('Sr', 'NNP')
('Soares', 'NNP')
('entra', 'VBZ')
('decerto', 'NN')
('procedimento', 'NN')
('entra', 'JJ')
('tempero', 'NN')
('sal', 'NN')
('coisas', 'NN')
('assim', 'NN')
('interpreto', 'NN')
('dito', 'NN')
('S', 'NNP')
('Paulo', 'NNP')
('Coríntios', 'NNP')
('Se', 'NNP')
('conhecer', 'NN')
('quanto', 'NN')
('pode', 'NN')
('saber', 'NN')
('caridade', 'VBD')
('nada', 'JJ')
('O', 'NNP')
('principal', 'NN')
('nesta', 'NN')
('obra', 'NN')
('Casa', 'NNP')
('Verde', 'NNP')
('estudar', 'NN')
('profundamente', 'NN')
('loucura', 'NN')
('diversos', 'NN')
('graus', 'NN')
('classificar', 'NN')
('casos', 'NN')
('descobrir', 'NN')
('enfim', 'NN')
('causa', 'NN')
('fenômeno', 'NN')
('remédio', 'NN')
('universal', 'JJ')
('Este', 'NNP')
('mistério', 'NN')
('coração', 'NN')
('Creio', 'NNP')
('presto', 'NN')
('bom', 'NN')
('serviço', 'NN')
('humanidade', 'VBD')
('Um', 'NNP')
('excelente', 'FW')
('serviço', 'NN')
('corrigiu', 'NN')
('boticário', 'NN')
('Sem', 'NNP')
('asilo', 'VBZ')
('continuou', 'NN')
('alienista', 'NN')
('pouco', 'NN')
('poderia', 'NN')
('fazer', 'NN')
('dá', 'NN')
('porém', 'NN')
('maior', 'JJ')
('campo', 'NN')
('estudos', 'NN')
('Muito', 'NNP')
('maior', 'VBZ')
('acrescentou', 'FW')
('outro', 'JJ')
('E', 'NNP')
('razão', 'NN')
('De', 'NNP')
('todas', 'FW')
('vilas', 'NNS')
('arraiais', 'VBP')
('vizinhos', 'JJ')
('afluíam', 'NN')
('loucos', 'NN')
('Casa', 'NNP')
('Verde', 'NNP')
('Eram', 'NNP')
('furiosos', 'NN')
('mansos', 'NN')
('monomaníacos', 'NN')
('toda', 'NN')
('família', 'JJ')
('deserdados', 'NN')
('espírito', 'NN')
('Ao', 'NNP')
('cabo', 'NN')
('quatro', 'NN')
('meses', 'VBZ')
('Casa', 'NNP')
('Verde', 'NNP')
('povoação', 'NN')
('Não', 'NNP')
('bastaram', 'NN')
('primeiros', 'NNS')
('cubículos', 'VBP')
('mandou', 'JJ')
('anexar', 'NN')
('galeria', 'NN')
('trinta', 'NN')
('sete', 'JJ')
('O', 'NNP')
('Padre', 'NNP')
('Lopes', 'NNP')
('confessou', 'NN')
('imaginara', 'NN')
('existência', 'NN')
('tantos', 'NN')
('doidos', 'VBZ')
('mundo', 'JJ')
('menos', 'NNS')
('ainda', 'VBP')
('inexplicável', 'JJ')
('alguns', 'NNS')
('casos', 'VBP')
('Um', 'NNP')
('exemplo', 'FW')
('rapaz', 'NN')
('bronco', 'NN')
('vilão', 'NN')
('todos', 'NN')
('dias', 'NN')
('almoço', 'VBP')
('fazia', 'JJ')
('regularmente', 'NN')
('discurso', 'NN')
('acadêmico', 'NN')
('ornado', 'NN')
('tropos', 'NN')
('antíteses', 'VBZ')
('apóstrofes', 'JJ')
('recamos', 'NNS')
('grego', 'VBP')
('latim', 'JJ')
('borlas', 'NN')
('Cícero', 'NNP')
('Apuleio', 'NNP')
('Tertuliano', 'NNP')
('O', 'NNP')
('vigário', 'NN')
('queria', 'NN')
('acabar', 'NN')
('crer', 'NN')
('Quê', 'NNP')
('rapaz', 'NN')
('vira', 'NN')
('três', 'NN')
('meses', 'VBZ')
('antes', 'VBZ')
('jogando', 'JJ')
('peteca', 'NN')
('rua', 'NN')
('Não', 'NNP')
('digo', 'VBZ')
('respondia', 'NN')
('alienista', 'NN')
('verdade', 'NN')
('Vossa', 'NNP')
('Reverendíssima', 'NNP')
('vendo', 'NN')
('Isto', 'NNP')
('todos', 'NN')
('dias', 'NN')
('Quanto', 'NNP')
('mim', 'NN')
('tornou', 'NN')
('vigário', 'NN')
('pode', 'NN')
('explicar', 'NN')
('confusão', 'NN')
('línguas', 'NN')
('torre', 'NN')
('Babel', 'NNP')
('segundo', 'NN')
('conta', 'NN')
('Escritura', 'NNP')
('provavelmente', 'NN')
('confundidas', 'NN')
('antigamente', 'NN')
('línguas', 'NN')
('fácil', 'NN')
('trocá', 'NN')
('las', 'NNS')
('agora', 'VBP')
('desde', 'JJ')
('razão', 'NN')
('trabalhe', 'NN')
('Essa', 'NNP')
('pode', 'NN')
('ser', 'NN')
('efeito', 'NN')
('explicação', 'JJ')
('divina', 'NN')
('fenômeno', 'NN')
('concordou', 'NN')
('alienista', 'NN')
('refletir', 'NN')
('instante', 'NN')
('impossível', 'NN')
('alguma', 'NN')
('razão', 'NN')
('humana', 'NN')
('puramente', 'NN')
('científica', 'NN')
('disso', 'NN')
('trato', 'NN')
('Vá', 'NNP')
('fico', 'NN')
('ansioso', 'NN')
('Realmente', 'NNP')
('Os', 'NNP')
('loucos', 'VBZ')
('amor', 'NN')
('três', 'NN')
('quatro', 'NN')
('dois', 'NN')
('espantavam', 'NN')
('curioso', 'NN')
('delírio', 'NN')
('O', 'NNP')
('primeiro', 'NN')
('Falcão', 'NNP')
('rapaz', 'NN')
('vinte', 'NN')
('cinco', 'NN')
('anos', 'NNS')
('supunha', 'VBP')
('estrela', 'JJ')
('d', 'NN')
('alva', 'NN')
('abria', 'NN')
('braços', 'NN')
('alargava', 'NN')
('pernas', 'NNS')
('dar', 'VBP')
('certa', 'JJ')
('feição', 'JJ')
('raios', 'NNS')
('ficava', 'VBP')
('assim', 'JJ')
('horas', 'NNS')
('esquecidas', 'VBP')
('perguntar', 'NN')
('sol', 'NN')
('saído', 'NN')
('recolher', 'NN')
('O', 'NNP')
('outro', 'VBZ')
('andava', 'JJ')
('sempre', 'NN')
('sempre', 'NN')
('sempre', 'NN')
('roda', 'NN')
('salas', 'NNS')
('pátio', 'VBP')
('longo', 'JJ')
('corredores', 'NNS')
('procura', 'VBP')
('fim', 'JJ')
('mundo', 'NN')
('Era', 'NNP')
('desgraçado', 'NN')
('mulher', 'NN')
('deixou', 'NN')
('seguir', 'NN')
('peralvilho', 'NN')
('Mal', 'NNP')
('descobrira', 'NN')
('fuga', 'NN')
('armou', 'NN')
('garrucha', 'NN')
('saiu', 'NN')
('encalço', 'NN')
('achou', 'NN')
('duas', 'NN')
('horas', 'NNS')
('pé', 'VBP')
('lagoa', 'JJ')
('matou', 'NN')
('ambos', 'NN')
('maiores', 'VBZ')
('requintes', 'VBZ')
('crueldade', 'JJ')
('O', 'NNP')
('ciúme', 'NN')
('satisfez', 'NN')
('vingado', 'NN')
('louco', 'NN')
('E', 'NNP')
('então', 'VBZ')
('começou', 'JJ')
('ânsia', 'NNP')
('ir', 'NN')
('fim', 'NN')
('mundo', 'NN')
('cata', 'NN')
('fugitivos', 'VBD')
('A', 'NNP')
('mania', 'NN')
('grandezas', 'NN')
('exemplares', 'VBZ')
('notáveis', 'JJ')
('O', 'NNP')
('notável', 'NN')
('pobre', 'NN')
('diabo', 'NN')
('filho', 'NN')
('algibebe', 'NN')
('narrava', 'JJ')
('paredes', 'NNS')
('porque', 'VBP')
('olhava', 'JJ')
('nunca', 'JJ')
('nenhuma', 'NN')
('pessoa', 'NN')
('toda', 'NN')
('genealogia', 'NN')
('Deus', 'NNP')
('engendrou', 'VBZ')
('ovo', 'JJ')
('ovo', 'JJ')
('engendrou', 'NN')
('espada', 'NN')
('espada', 'NN')
('engendrou', 'NN')
('Davi', 'NNP')
('Davi', 'NNP')
('engendrou', 'NN')
('púrpura', 'NN')
('púrpura', 'NN')
('engendrou', 'NN')
('duque', 'NN')
('duque', 'NN')
('engendrou', 'NN')
('marquês', 'NN')
('marquês', 'NN')
('engendrou', 'NN')
('conde', 'NN')
('Dava', 'NNP')
('pancada', 'NN')
('testa', 'NN')
('estalo', 'NN')
('dedos', 'NN')
('repetia', 'NN')
('cinco', 'NN')
('seis', 'NN')
('vezes', 'VBZ')
('seguidas', 'JJ')
('Deus', 'NNP')
('engendrou', 'NN')
('ovo', 'NN')
('ovo', 'NN')
('etc', 'FW')
('Outro', 'NNP')
('mesma', 'FW')
('espécie', 'NN')
('escrivão', 'FW')
('vendia', 'FW')
('mordomo', 'NN')
('rei', 'NN')
('outro', 'NN')
('boiadeiro', 'NN')
('Minas', 'NNP')
('cuja', 'NN')
('mania', 'NN')
('distribuir', 'NN')
('boiadas', 'NN')
('toda', 'NN')
('gente', 'NN')
('dava', 'NN')
('trezentas', 'NNS')
('cabeças', 'VBP')
('seiscentas', 'JJ')
('outro', 'NN')
('mil', 'NN')
('duzentas', 'NNS')
('outro', 'VBP')
('acabava', 'JJ')
('Não', 'NNP')
('falo', 'NN')
('casos', 'NN')
('monomania', 'NN')
('religiosa', 'NN')
('apenas', 'NNS')
('citarei', 'VBP')
('sujeito', 'JJ')
('chamando', 'NN')
('João', 'NNP')
('Deus', 'NNP')
('dizia', 'NN')
('agora', 'NNS')
('ser', 'VBP')
('deus', 'JJ')
('João', 'NNP')
('prometia', 'NN')
('reino', 'NN')
('céus', 'NN')
('adorasse', 'NN')
('penas', 'NN')
('inferno', 'NN')
('outros', 'IN')
('desse', 'JJ')
('licenciado', 'NN')
('Garcia', 'NNP')
('dizia', 'NN')
('nada', 'NN')
('porque', 'NN')
('imaginava', 'JJ')
('dia', 'NN')
('chegasse', 'NN')
('proferir', 'NN')
('palavra', 'NN')
('todas', 'NN')
('estrelas', 'VBP')
('despegariam', 'NN')
('céu', 'NN')
('abrasariam', 'JJ')
('terra', 'NN')
('tal', 'JJ')
('poder', 'NN')
('recebera', 'NN')
('Deus', 'NNP')
('Assim', 'NNP')
('escrevia', 'NN')
('papel', 'NN')
('alienista', 'NN')
('mandava', 'NN')
('dar', 'NN')
('menos', 'NNS')
('caridade', 'VBP')
('interesse', 'JJ')
('científico', 'NN')
('Que', 'NNP')
